iter	Passed	Remaining
0	112	89774
1	160	64119
2	210	55838
3	253	50487
4	303	48271
5	347	45977
6	386	43779
7	436	43169
8	483	42498
9	532	42036
10	574	41209
11	627	41182
12	676	40971
13	727	40825
14	774	40524
15	825	40425
16	876	40356
17	900	39121
18	928	38166
19	972	37925
20	1019	37835
21	1071	37876
22	1114	37666
23	1159	37476
24	1189	36878
25	1232	36682
26	1274	36489
27	1323	36491
28	1356	36068
29	1402	35999
30	1443	35809
31	1486	35673
32	1532	35623
33	1577	35542
34	1626	35551
35	1669	35429
36	1721	35491
37	1768	35468
38	1796	35058
39	1841	34993
40	1885	34896
41	1925	34759
42	1946	34274
43	1993	34258
44	2028	34038
45	2056	33716
46	2099	33637
47	2146	33632
48	2189	33555
49	2232	33482
50	2281	33506
51	2304	33155
52	2343	33028
53	2386	32975
54	2429	32912
55	2470	32818
56	2521	32871
57	2558	32734
58	2604	32709
59	2651	32706
60	2694	32643
61	2741	32631
62	2777	32492
63	2818	32411
64	2865	32406
65	2906	32326
66	2951	32292
67	2992	32209
68	3044	32252
69	3089	32218
70	3146	32303
71	3191	32267
72	3220	32074
73	3252	31905
74	3297	31875
75	3341	31827
76	3382	31761
77	3417	31635
78	3453	31521
79	3487	31389
80	3528	31319
81	3571	31269
82	3616	31238
83	3661	31206
84	3707	31190
85	3736	31020
86	3784	31019
87	3829	30986
88	3871	30932
89	3894	30725
90	3941	30708
91	3985	30668
92	4026	30611
93	4072	30583
94	4114	30531
95	4151	30447
96	4189	30361
97	4227	30281
98	4262	30184
99	4304	30130
100	4337	30020
101	4368	29892
102	4415	29878
103	4429	29644
104	4466	29562
105	4519	29591
106	4564	29563
107	4602	29492
108	4650	29483
109	4695	29456
110	4744	29452
111	4790	29427
112	4840	29431
113	4887	29408
114	4914	29270
115	4958	29235
116	4999	29185
117	5053	29205
118	5102	29202
119	5142	29138
120	5174	29036
121	5209	28950
122	5256	28931
123	5299	28888
124	5335	28811
125	5355	28645
126	5390	28566
127	5439	28555
128	5483	28521
129	5522	28463
130	5536	28275
131	5583	28256
132	5631	28243
133	5673	28196
134	5686	28010
135	5722	27937
136	5760	27879
137	5774	27700
138	5820	27678
139	5850	27581
140	5864	27408
141	5906	27370
142	5946	27322
143	5960	27154
144	6004	27122
145	6047	27087
146	6084	27029
147	6133	27022
148	6170	26961
149	6217	26944
150	6265	26928
151	6304	26878
152	6345	26832
153	6390	26805
154	6434	26777
155	6477	26741
156	6506	26648
157	6539	26573
158	6588	26562
159	6633	26534
160	6671	26478
161	6711	26430
162	6755	26399
163	6801	26377
164	6841	26328
165	6885	26297
166	6929	26265
167	6963	26197
168	6992	26109
169	7035	26071
170	7072	26015
171	7102	25932
172	7136	25866
173	7151	25729
174	7178	25639
175	7227	25623
176	7276	25611
177	7321	25584
178	7353	25512
179	7395	25473
180	7430	25410
181	7470	25366
182	7516	25341
183	7548	25272
184	7591	25237
185	7614	25137
186	7652	25086
187	7693	25046
188	7735	25008
189	7777	24970
190	7815	24919
191	7857	24881
192	7902	24853
193	7943	24812
194	7978	24753
195	8022	24722
196	8067	24694
197	8105	24645
198	8150	24614
199	8192	24576
200	8225	24512
201	8272	24488
202	8316	24457
203	8345	24381
204	8393	24361
205	8443	24345
206	8486	24311
207	8538	24302
208	8573	24243
209	8613	24199
210	8655	24160
211	8702	24137
212	8743	24096
213	8784	24053
214	8832	24033
215	8879	24006
216	8920	23964
217	8961	23923
218	8994	23862
219	9043	23841
220	9065	23751
221	9109	23718
222	9157	23695
223	9202	23662
224	9244	23624
225	9290	23595
226	9324	23537
227	9370	23507
228	9409	23461
229	9451	23424
230	9500	23401
231	9545	23370
232	9590	23337
233	9631	23297
234	9673	23257
235	9718	23224
236	9764	23195
237	9804	23152
238	9850	23122
239	9892	23082
240	9943	23063
241	9984	23022
242	10027	22985
243	10072	22951
244	10111	22906
245	10152	22864
246	10196	22828
247	10243	22800
248	10286	22763
249	10333	22734
250	10378	22701
251	10424	22670
252	10468	22634
253	10520	22615
254	10567	22584
255	10616	22559
256	10651	22503
257	10691	22460
258	10729	22411
259	10770	22368
260	10806	22317
261	10853	22286
262	10895	22247
263	10941	22214
264	10987	22183
265	11033	22149
266	11067	22093
267	11104	22043
268	11150	22010
269	11187	21960
270	11233	21927
271	11280	21898
272	11317	21847
273	11364	21816
274	11406	21776
275	11448	21735
276	11489	21692
277	11531	21652
278	11567	21601
279	11601	21546
280	11636	21492
281	11692	21476
282	11736	21441
283	11777	21398
284	11812	21345
285	11844	21287
286	11890	21254
287	11934	21216
288	11979	21181
289	12016	21131
290	12052	21080
291	12102	21054
292	12149	21023
293	12198	20994
294	12246	20964
295	12291	20927
296	12333	20887
297	12380	20855
298	12426	20822
299	12467	20778
300	12510	20740
301	12550	20695
302	12601	20669
303	12644	20630
304	12683	20585
305	12728	20548
306	12766	20501
307	12822	20482
308	12863	20440
309	12904	20398
310	12954	20368
311	13027	20375
312	13087	20363
313	13137	20333
314	13182	20297
315	13221	20250
316	13262	20208
317	13313	20178
318	13356	20138
319	13406	20110
320	13447	20066
321	13486	20020
322	13537	19991
323	13581	19953
324	13631	19923
325	13668	19874
326	13718	19843
327	13762	19804
328	13805	19764
329	13848	19723
330	13886	19675
331	13925	19629
332	13972	19594
333	14019	19560
334	14064	19521
335	14104	19477
336	14152	19443
337	14190	19396
338	14235	19358
339	14281	19322
340	14321	19276
341	14363	19234
342	14412	19202
343	14446	19149
344	14482	19100
345	14519	19051
346	14565	19014
347	14610	18977
348	14654	18937
349	14702	18903
350	14751	18870
351	14801	18838
352	14847	18801
353	14890	18759
354	14936	18723
355	14972	18673
356	15012	18629
357	15059	18592
358	15108	18558
359	15148	18515
360	15191	18474
361	15231	18428
362	15272	18385
363	15318	18348
364	15360	18306
365	15412	18275
366	15461	18242
367	15514	18212
368	15564	18179
369	15609	18140
370	15656	18103
371	15703	18067
372	15749	18029
373	15794	17990
374	15838	17949
375	15885	17913
376	15925	17868
377	15972	17831
378	16017	17792
379	16061	17752
380	16110	17716
381	16160	17683
382	16203	17641
383	16247	17601
384	16284	17553
385	16323	17507
386	16366	17466
387	16406	17421
388	16456	17387
389	16501	17347
390	16544	17306
391	16593	17270
392	16634	17227
393	16686	17195
394	16734	17158
395	16774	17113
396	16820	17075
397	16862	17031
398	16899	16984
399	16939	16939
400	16982	16897
401	17025	16855
402	17071	16817
403	17123	16784
404	17171	16747
405	17210	16702
406	17248	16655
407	17291	16613
408	17340	16576
409	17376	16528
410	17414	16482
411	17451	16435
412	17493	16391
413	17531	16345
414	17571	16301
415	17622	16266
416	17665	16225
417	17711	16186
418	17757	16147
419	17807	16111
420	17855	16074
421	17895	16029
422	17940	15989
423	17987	15951
424	18032	15911
425	18078	15871
426	18120	15828
427	18162	15785
428	18201	15740
429	18246	15700
430	18293	15662
431	18332	15616
432	18377	15575
433	18428	15540
434	18470	15498
435	18509	15453
436	18551	15409
437	18589	15364
438	18635	15324
439	18678	15282
440	18730	15247
441	18772	15204
442	18818	15165
443	18868	15128
444	18917	15091
445	18958	15047
446	19006	15009
447	19052	14969
448	19098	14929
449	19149	14893
450	19199	14857
451	19242	14815
452	19290	14776
453	19341	14740
454	19386	14699
455	19433	14660
456	19474	14616
457	19528	14582
458	19570	14539
459	19620	14501
460	19656	14454
461	19699	14411
462	19745	14371
463	19789	14330
464	19837	14291
465	19875	14245
466	19922	14205
467	19963	14162
468	20009	14121
469	20057	14082
470	20100	14040
471	20151	14003
472	20194	13960
473	20239	13920
474	20279	13875
475	20317	13829
476	20356	13784
477	20410	13749
478	20451	13705
479	20489	13659
480	20530	13616
481	20573	13573
482	20616	13531
483	20661	13489
484	20708	13449
485	20749	13406
486	20785	13358
487	20830	13318
488	20880	13279
489	20928	13240
490	20977	13201
491	21028	13164
492	21076	13124
493	21123	13084
494	21166	13042
495	21209	12999
496	21261	12962
497	21299	12916
498	21342	12874
499	21394	12836
500	21439	12794
501	21489	12756
502	21539	12718
503	21586	12677
504	21632	12636
505	21669	12590
506	21709	12546
507	21764	12510
508	21809	12468
509	21855	12427
510	21895	12383
511	21940	12341
512	21987	12301
513	22035	12260
514	22081	12219
515	22126	12178
516	22164	12132
517	22202	12087
518	22244	12043
519	22290	12002
520	22338	11962
521	22381	11919
522	22423	11876
523	22470	11835
524	22511	11791
525	22549	11746
526	22598	11706
527	22647	11667
528	22700	11628
529	22746	11587
530	22809	11555
531	22845	11508
532	22888	11465
533	22962	11438
534	23031	11407
535	23092	11374
536	23144	11334
537	23182	11289
538	23230	11248
539	23280	11209
540	23328	11168
541	23367	11123
542	23416	11082
543	23462	11041
544	23502	10996
545	23545	10953
546	23591	10911
547	23637	10869
548	23681	10827
549	23723	10783
550	23764	10739
551	23810	10697
552	23852	10653
553	23893	10609
554	23940	10568
555	23991	10528
556	24031	10484
557	24075	10441
558	24127	10401
559	24170	10358
560	24218	10317
561	24261	10274
562	24302	10230
563	24348	10188
564	24393	10146
565	24436	10102
566	24489	10063
567	24534	10021
568	24586	9981
569	24638	9941
570	24678	9897
571	24724	9855
572	24768	9812
573	24812	9769
574	24857	9726
575	24903	9684
576	24948	9642
577	24998	9601
578	25046	9560
579	25092	9517
580	25139	9475
581	25173	9429
582	25215	9385
583	25252	9339
584	25301	9298
585	25348	9256
586	25394	9214
587	25434	9170
588	25470	9124
589	25520	9083
590	25572	9043
591	25626	9004
592	25674	8962
593	25726	8922
594	25777	8881
595	25820	8837
596	25868	8796
597	25914	8753
598	25961	8711
599	26005	8668
600	26045	8624
601	26081	8578
602	26131	8537
603	26177	8494
604	26215	8449
605	26259	8406
606	26303	8363
607	26348	8320
608	26390	8276
609	26436	8234
610	26479	8190
611	26532	8150
612	26580	8108
613	26623	8065
614	26666	8021
615	26709	7978
616	26752	7934
617	26804	7893
618	26858	7853
619	26908	7812
620	26954	7769
621	27002	7727
622	27045	7683
623	27084	7639
624	27132	7597
625	27175	7553
626	27217	7509
627	27266	7467
628	27317	7426
629	27367	7384
630	27412	7341
631	27460	7299
632	27511	7258
633	27551	7213
634	27590	7169
635	27641	7127
636	27685	7084
637	27735	7042
638	27774	6997
639	27813	6953
640	27864	6911
641	27909	6868
642	27958	6826
643	28004	6783
644	28052	6741
645	28101	6699
646	28149	6656
647	28190	6612
648	28228	6567
649	28274	6524
650	28318	6481
651	28367	6439
652	28405	6394
653	28446	6350
654	28489	6306
655	28532	6263
656	28574	6219
657	28619	6176
658	28666	6133
659	28719	6092
660	28762	6048
661	28806	6004
662	28851	5961
663	28897	5918
664	28938	5874
665	28987	5832
666	29030	5788
667	29076	5745
668	29123	5702
669	29159	5657
670	29199	5613
671	29244	5570
672	29285	5526
673	29329	5483
674	29374	5439
675	29422	5396
676	29468	5353
677	29511	5310
678	29557	5267
679	29610	5225
680	29659	5182
681	29703	5139
682	29749	5096
683	29797	5053
684	29841	5009
685	29881	4965
686	29917	4920
687	29960	4877
688	30010	4834
689	30059	4792
690	30102	4748
691	30143	4704
692	30189	4661
693	30234	4617
694	30281	4574
695	30317	4530
696	30370	4487
697	30417	4444
698	30464	4401
699	30512	4358
700	30551	4314
701	30602	4272
702	30646	4228
703	30695	4185
704	30747	4143
705	30792	4099
706	30845	4057
707	30889	4013
708	30928	3969
709	30975	3926
710	31025	3883
711	31067	3839
712	31113	3796
713	31159	3753
714	31204	3709
715	31245	3665
716	31290	3622
717	31332	3578
718	31375	3534
719	31423	3491
720	31474	3448
721	31514	3404
722	31559	3361
723	31611	3318
724	31656	3274
725	31701	3231
726	31754	3188
727	31791	3144
728	31836	3100
729	31886	3057
730	31929	3013
731	31974	2970
732	32022	2926
733	32065	2883
734	32103	2839
735	32147	2795
736	32193	2751
737	32236	2708
738	32283	2664
739	32334	2621
740	32385	2578
741	32429	2534
742	32470	2491
743	32514	2447
744	32564	2404
745	32613	2360
746	32663	2317
747	32710	2274
748	32765	2230
749	32803	2186
750	32841	2142
751	32894	2099
752	32956	2057
753	33016	2014
754	33062	1970
755	33114	1927
756	33163	1883
757	33210	1840
758	33260	1796
759	33312	1753
760	33354	1709
761	33392	1665
762	33442	1621
763	33495	1578
764	33535	1534
765	33586	1490
766	33637	1447
767	33689	1403
768	33740	1360
769	33789	1316
770	33837	1272
771	33881	1228
772	33926	1185
773	33967	1141
774	34016	1097
775	34065	1053
776	34110	1009
777	34149	965
778	34190	921
779	34239	877
780	34287	834
781	34319	789
782	34367	746
783	34414	702
784	34465	658
785	34509	614
786	34552	570
787	34588	526
788	34635	482
789	34680	438
790	34727	395
791	34765	351
792	34813	307
793	34860	263
794	34909	219
795	34955	175
796	35001	131
797	35035	87
798	35083	43
799	35126	0
